x;float; double; ulamek
5;7,9662E-06;0;0
5;3,79241E-06;1,40E-14;2,27E-13
5;2,70382E-05;0;0
5;8,45198E-05;5,70E-14;2,27E-13
5;6,37493E-05;2,80E-14;0
5;7,35292E-06;1,40E-14;0
5;5,35827E-05;1,40E-14;0
5;0,000161519;0;2,27E-13
5;1,05827E-05;1,40E-14;1,14E-13
6;3,20754E-07;1,40E-14;0
6;4,01771E-06;0;0
6;1,65015E-05;1,40E-14;5,7E-14
6;1,06643E-05;1,40E-14;5,7E-14
6;1,90596E-05;0;2,8E-14
6;1,81322E-05;4,30E-14;5,7E-14
6;1,90217E-05;1,40E-14;0
6;4,25864E-05;1,40E-14;0
6;3,76231E-06;1,40E-14;0
6;1,01626E-05;0;2,8E-14
6;6,89968E-06;1,40E-14;0
6;2,47884E-05;1,40E-14;5,7E-14
6;3,38878E-05;0;1,14E-13
7;5,82659E-06;1,40E-14;0
7;8,52787E-05;2,80E-14;1,14E-13
7;5,85716E-06;1,40E-14;0
7;2,01734E-05;7,00E-15;1,14E-13
7;2,52746E-05;1,40E-14;0
